text;label;type;source;dataset
Quand il y a un crime, musulmans sont à blâmer.;1;islam;NGO;CONAN
Les musulmans changent trop sur les marchés alimentaires.;1;islam;NGO;CONAN
Les musulmans utilisent le système français.;1;islam;NGO;CONAN
Vous ne devriez pas croire les musulmans.;1;islam;NGO;CONAN
L'islam n'appartient pas à notre pays.;1;islam;NGO;CONAN
Les femmes musulmanes ne travaillent pas, elles restent à la maison.;1;islam;NGO;CONAN
Filles voilées c'est pas bien.;1;islam;NGO;CONAN
L'islamisation est nuisible.;1;islam;NGO;CONAN
"""l'islamophobie"" c'est les musulmans qui veulent empêcher le blasphème.";1;islam;NGO;CONAN
Les femmes voilées sont soumises et obligées de porter le foulard.;1;islam;NGO;CONAN
L'islam n'appartient pas à l'Europe.;1;islam;NGO;CONAN
Les musulmans sont tous pareils.;1;islam;NGO;CONAN
Les musulmans sont antisémites.;1;islam;NGO;CONAN
L'islam est inférieur en europe.;1;islam;NGO;CONAN
Les musulmans sont sombres.;1;islam;NGO;CONAN
Les musulmans nous volent notre travail.;1;islam;NGO;CONAN
L'islam appartient au passé.;1;islam;NGO;CONAN
Les femmes voilées ne travaillent pas, elles sont enfermées à la maison.;1;islam;NGO;CONAN
L'islam est la religion de la guerre, il ne faut pas le laisser.;1;islam;NGO;CONAN
Les musulmans sont tous violents.;1;islam;NGO;CONAN
En fin de compte, les musulmans veulent soit nous convertir soit nous tuer.;1;islam;NGO;CONAN
L.es migrants représentent la 5eme colonne.;1;islam;NGO;CONAN
(en réagissant à une attaque terroriste:) encore un bouddhiste, et ils veulent nous faire croire que l'islam est une religion de paix et de tolérance.;1;islam;NGO;CONAN
L'islam est une religion moyenâgeuse.;1;islam;NGO;CONAN
Il est permis de discriminer les femmes voilées.;1;islam;NGO;CONAN
On ne peut pas faire confiance aux musulmans c'est tous des escrocs.;1;islam;NGO;CONAN
Soyons islamophobes et combattons l'islam.;1;islam;NGO;CONAN
L'islamophobie est un droit. Combattre l'islam est un devoir.;1;islam;NGO;CONAN
Les musulmans volent nos lieux de travail.;1;islam;NGO;CONAN
Les musulmans ne sont pas tolérants aux autres religions.;1;islam;NGO;CONAN
L'islam est la religion de l'obscurantisme.;1;islam;NGO;CONAN
L'islam n'appartient pas au monde moderne.;1;islam;NGO;CONAN
Les musulmans ne laissent pas les gens s'en prendre à cause du ramadan.;1;islam;NGO;CONAN
Les musulmans veulent imposer la sharia en Europe.;1;islam;NGO;CONAN
Le voile islamique est la démonstration d'un islam politique.;1;islam;NGO;CONAN
Le bouddhisme est la religion de la paix et de la tolérance, pas l'islam comme ils ont des terroristes.;1;islam;NGO;CONAN
L'islam est barbare.;1;islam;NGO;CONAN
Les terroristes sont musulmans.;1;islam;NGO;CONAN
Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.;1;islam;NGO;CONAN
L'islam déteste les chrétiens et les juifs.;1;islam;NGO;CONAN
Les musulmans sont de mauvaises personnes.;1;islam;NGO;CONAN
L'islam est inférieur.;1;islam;NGO;CONAN
Les musulmans doivent intégrer ou quitter la France!;1;islam;NGO;CONAN
Les femmes musulmanes restent chez elles.;1;islam;NGO;CONAN
Musulmans imposent leurs règles en europe.;1;islam;NGO;CONAN
Ton voile est une agression contre moi.;1;islam;NGO;CONAN
Les musulmans veulent rendre toute la viande francaise halal.;1;islam;NGO;CONAN
L'islam ne partage pas nos valeurs républicaines.;1;islam;NGO;CONAN
Les femmes musulmanes sont des ménagères.;1;islam;NGO;CONAN
L'islam va à l'encontre des valeurs francaises.;1;islam;NGO;CONAN
Si l'islam est une religion moderne, pourquoi est ce que tous les pays musulmans sont arriérés et/ou en guerre?;1;islam;NGO;CONAN
L'islam pose beaucoup de problèmes à notre société.;1;islam;NGO;CONAN
Les musulmans nous convertissent ou nous tuent.;1;islam;NGO;CONAN
Les femmes musulmanes sont gardées à la maison.;1;islam;NGO;CONAN
Les musulmans empêchent les gens de manger pendant le ramadan.;1;islam;NGO;CONAN
Les musulmans doivent partir.;1;islam;NGO;CONAN
Musulmans: retournez dans votre pays.;1;islam;NGO;CONAN
Vous pouvez deviner l'apparition d'un terroriste.;1;islam;NGO;CONAN
Les musulmans ne sont pas dignes de confiance.;1;islam;NGO;CONAN
(en réagissant à une attaque terroriste:) bien sûr encore un blond aux yeux bleus qui s'appelle édouard.;1;islam;NGO;CONAN
L'islam est mauvais, nous devrions nous en débarrasser.;1;islam;NGO;CONAN
Les pays islamiques sont en guerre, ils traînent derrière.;1;islam;NGO;CONAN
L'islam est une religion incompatible avec les valeurs de la République.;1;islam;NGO;CONAN
Le voile dans l'Islam a une signification politique.;1;islam;NGO;CONAN
Les migrants sont nuisibles à notre société.;1;islam;NGO;CONAN
L'islam encourage les guerres, nous ne devrions pas l'encourager.;1;islam;NGO;CONAN
L'islam est une religion sombre.;1;islam;NGO;CONAN
Nous ne devrions pas nous décourager de l'islamophobie.;1;islam;NGO;CONAN
Les musulmans sont tous des terroristes.;1;islam;NGO;CONAN
Musulmans, partez!;1;islam;NGO;CONAN
L'islam est une religion de guerre, nous devons tous le combattre.;1;islam;NGO;CONAN
Les musulmans sont faibles.;1;islam;NGO;CONAN
Musulman mène aux guerres, ce n'est pas une religion progressiste.;1;islam;NGO;CONAN
Les musulmans imposent des règles vestimentaires aux filles.;1;islam;NGO;CONAN
Les femmes sont malheureuses dans l'islam.;1;islam;NGO;CONAN
L'islam et le terrorisme sont des synonymes.;1;islam;NGO;CONAN
L'islamophobie c'est bien, l'islam c'est mal.;1;islam;NGO;CONAN
Notre liberté de parole devrait nous permettre de mal parler des musulmans.;1;islam;NGO;CONAN
Nous ne devrions pas laisser le voile sur nos filles.;1;islam;NGO;CONAN
Les musulmans empêchent les filles de porter des jupes.;1;islam;NGO;CONAN
Les hommes musulmans sont violents, les femmes musulmanes sont soumises.;1;islam;NGO;CONAN
Il n'y a pas de place pour les musulmans.;1;islam;NGO;CONAN
L'islam est une maladie qui devrait être guérie.;1;islam;NGO;CONAN
 mais tu veut quoi toi retourne avec ta gadji et assume au passant que vous étent lesbiennes sa dégouteeee;1;;role_playing_game;cyberado
 mais grave bande de lesbiennes vous degoutée aaaaah;1;;role_playing_game;cyberado
 mais olalala frr assume t'aime les ch*ttes mais tu dégoute meme anna elle le dit ;1;;role_playing_game;cyberado
 mais cest des gouines ;1;;role_playing_game;cyberado
 et toi tu sais que la vie c'est homme femme pas femme femme salope;1;;role_playing_game;cyberado
 bande de gouines;1;;role_playing_game;cyberado
 assume que t'aime les filles c tout connasse;1;;role_playing_game;cyberado
 chienne que tes ont aimes pas les lesbienne ici;1;;role_playing_game;cyberado
 on veut pas de sa ici;1;;role_playing_game;cyberado
pd va;1;;role_playing_game;cyberado
 pute et gouine cla meme;1;;role_playing_game;cyberado
 oui les garcons avec les filles pas filleet fille c degeulasse;1;;role_playing_game;cyberado
 grave vous me degouter;1;;role_playing_game;cyberado
 ftg c toi la gouine tu parle avec nous sombre pute wallah t ki;1;;role_playing_game;cyberado
 ptdrrr grvvv et arthur ta channgé jte croyais pas comme sa quoi toiausssi tai pd;1;;role_playing_game;cyberado
 rien a foutre PAS DE GOUINE ICI;1;;role_playing_game;cyberado
 STOP LESBIENNES !!!!;1;;role_playing_game;cyberado
 DEHORSSSSS;1;;role_playing_game;cyberado
 nouvelle bombe atomique;1;;role_playing_game;cyberado
 wsh tu parle pas comme ca je vais te dechire;1;;role_playing_game;cyberado
 ah si t'inquiete pas j'ai pleins de choses à faire dans ma vie ferme la michel;1;;role_playing_game;cyberado
 manges du couscous;1;;role_playing_game;cyberado
 vazy on va lui faire sucer des grosses bites vu quil aime  faire sa;1;;role_playing_game;cyberado
 tg rentre chez toi;1;;role_playing_game;cyberado
 fatimah pas très francais;1;;role_playing_game;cyberado
 vazy jette toi connard;1;;role_playing_game;cyberado
 tg avec ta tete d'immigré;1;;role_playing_game;cyberado
 normal un singe ça bouffe des teub;1;;role_playing_game;cyberado
 Vazy Fatimah avec ton henné là on croirait tu t'es doigtée qd t'avais tes règles srx;1;;role_playing_game;cyberado
 nique les bougnoules;1;;role_playing_game;cyberado
 vazi je viens avec toi on va le défoncer  ;1;;role_playing_game;cyberado
 vaut mieux être un boulette baisable qu'un bâton frigide;1;;role_playing_game;cyberado
 nique les arabes;1;;role_playing_game;cyberado
 frère t'es gay et tu me parles;1;;role_playing_game;cyberado
 dégage de la pd;1;;role_playing_game;cyberado
 pédale;1;;role_playing_game;cyberado
 sale gay;1;;role_playing_game;cyberado
 vasy tg jvai te faire manger le sol;1;;role_playing_game;cyberado
 mais c vous qui respecter pas la nature a etre homo;1;;role_playing_game;cyberado
 t'as cru j'allais rester pote avec un pd;1;;role_playing_game;cyberado
 c'est toi le pd mec;1;;role_playing_game;cyberado
 bah non  on baisse pas avec des animeaux;1;;role_playing_game;cyberado
 PAS HOMME HOMME;1;;role_playing_game;cyberado
 c'est pas dans la nature bah ouais;1;;role_playing_game;cyberado
 Camille moi j'ai compris la vie, un homme une femme . rien de plus Camille ca degage;1;;role_playing_game;cyberado
 vas-y grosse pute. tu te sens mal maintenant enfin ;1;;role_playing_game;cyberado
 que tu soit nazi ou gay c le meme niveau;1;;role_playing_game;cyberado
 mais cte folle elle a embrassé lucas pdt le voyazge;1;;role_playing_game;cyberado
 en ft t'es une grosse pute c'est ça que je dois comprendre;1;;role_playing_game;cyberado
 en faite tes vraiment une sap*lope silvia;1;;role_playing_game;cyberado
 Mais ta race toi putain;1;;role_playing_game;cyberado
 bah tes une salope en faite;1;;role_playing_game;cyberado
 tes une autoroute ;1;;role_playing_game;cyberado
 mais grosse salope d'où tu me parles?;1;;role_playing_game;cyberado
 Tu pues la merde ;1;;role_playing_game;cyberado
 mais bordel tg herbert tu vois pas je lui parle;1;;role_playing_game;cyberado
 ah ouais bah faites gaffe a lisa pk c'est un tunnel;1;;role_playing_game;cyberado
 pour de vrai c'est une salope ;1;;role_playing_game;cyberado
 tg toi;1;;role_playing_game;cyberado
 Mais ferme ta gueule;1;;role_playing_game;cyberado
 t'es plate comme une planche de surf et tu fais la foplle avec mloi;1;;role_playing_game;cyberado
 Tu veux quoi SALOPE  en faite t es passer sur tout paname donc parle pas;1;;role_playing_game;cyberado
 j'ai juste un pblm avec les putes de ton espèce et les mythos;1;;role_playing_game;cyberado
 t une salope et t homophobe ???;1;;role_playing_game;cyberado
 On vit sur la côte d'Azur espèce de teubé;1;;role_playing_game;cyberado
 La vie de ma mère ferme bien ta gueule au lieu d'écarter les cuisses;1;;role_playing_game;cyberado
 mais silvia t'es vraiment une grosse sous race en ft;1;;role_playing_game;cyberado
 herbert ta gueule stp;1;;role_playing_game;cyberado
 mais Lucas il pue la merde sérieux;1;;role_playing_game;cyberado
 en faite cherchez pas silvia elle veux SE FAIRE BAISER PAR TT LE MONDE;1;;role_playing_game;cyberado
 ssale pute  tu vend meme pas ton corps taime ca ;1;;role_playing_game;cyberado
 Silvia t'es pire qu'une pute;1;;role_playing_game;cyberado
 mais ta gueule putain tu boites tellement tu te fais défoncer;1;;role_playing_game;cyberado
 tu suis le chemin de ta mère là;1;;role_playing_game;cyberado
 Et toi Sohpie tu es bien conne de croire tout ce qu'on te raconte;1;;role_playing_game;cyberado
 déjà m'interpelle même pas on est pas pote;1;;role_playing_game;cyberado
 quelle photo povr merde;1;;role_playing_game;cyberado
 mais quelle merde;1;;role_playing_game;cyberado
 La triz qui traite les autres de teube;1;;role_playing_game;cyberado
 t'as rien à dire sous merde;1;;role_playing_game;cyberado
 je suis en train de te parler débile;1;;role_playing_game;cyberado
 tu fais pitié sérieux;1;;role_playing_game;cyberado
 habille toi vite grosse p***;1;;role_playing_game;cyberado
 moi j'en ai rien à foutre de ton débile de gros laid;1;;role_playing_game;cyberado
   taimerai biezn etre suce hein adri tes bien seul ;1;;role_playing_game;cyberado
 putain t vmt conne;1;;role_playing_game;cyberado
 t es un vrai sac  à foutre;1;;role_playing_game;cyberado
 olalala insulte volée à ta mère;1;;role_playing_game;cyberado
 ptn mais t'es né d'un gangbang ou quoi;1;;role_playing_game;cyberado
 ptn de triso;1;;role_playing_game;cyberado
 tu fais pitie sophie  si ton mec te veux plus bah tu degage ;1;;role_playing_game;cyberado
 vu ton esprit de déduction merdique Sophie;1;;role_playing_game;cyberado
 mais michel frere tas vu ton prénom pour commenc&é;1;;role_playing_game;cyberado
 Deux qui pauivre merde?;1;;role_playing_game;cyberado
 tu comprends sale pute ;1;;role_playing_game;cyberado
 ftg sophia ;1;;role_playing_game;cyberado
 plus que toi en tant que pute;1;;role_playing_game;cyberado
 plus que toi en tant que chien de Sophie;1;;role_playing_game;cyberado
 nempeche ca se fait pas  digne d'une pute;1;;role_playing_game;cyberado
 silvia t'es morte.;1;;role_playing_game;cyberado
 déjà faudrait que tu roules jusqu'à moi;1;;role_playing_game;cyberado
 qestu parles grosse folle c'est toi l'obèse donc c'est toi qui roule;1;;role_playing_game;cyberado
 woow tu fait meme beuger la co ;1;;role_playing_game;cyberado
 Techniquement le sac à MST c'est pas moi...;1;;role_playing_game;cyberado
 mais lisa laisse tomber la meuf c'est SIDA ebola tétanos tt ce que tu veux;1;;role_playing_game;cyberado
 dans ta chatte ya 3-4 gangs de mst questu parles;1;;role_playing_game;cyberado
 pas besoin pour savoir que ta tt les mst de la tere;1;;role_playing_game;cyberado
 toi tu peux déjà plus vu l'état de tes vieilles dents;1;;role_playing_game;cyberado
 vas te faire sequestrer avec ta petite bite Brice;1;;role_playing_game;cyberado
 Sophie doit aller s'acheter un cerveau;1;;role_playing_game;cyberado
 la grosse c'est toi;1;;role_playing_game;cyberado
 ensuite tu es juste trop conne de croire ce teubé ;1;;role_playing_game;cyberado
 repond fatiquer grosse tapette quer tes je te souleve grosse kehba ;1;;role_playing_game;cyberado
 franchement tu devrais aller voire un médecin ;1;;role_playing_game;cyberado
 c pas normale ton truc fdp ;1;;role_playing_game;cyberado
 wallah vien la lib grosse tapette;1;;role_playing_game;cyberado
 et petit con;1;;role_playing_game;cyberado
 on devrais l'emener dans un hopital c mieux ;1;;role_playing_game;cyberado
 come sa personne et contaminer ptdr;1;;role_playing_game;cyberado
 vien sucer grosse pute;1;;role_playing_game;cyberado
 wallah toi le babtou  pourquoi tu parles comme les autres ?;1;;role_playing_game;cyberado
" jimmy aucupe toi de ton cue que paul encule ;)";1;;role_playing_game;cyberado
 ton manque d'intelligence c pire que tout;1;;role_playing_game;cyberado
 vas crevé en enfer ;1;;role_playing_game;cyberado
 mdrr tg francois bien fait pour ta gueule;1;;role_playing_game;cyberado
 vas courir gros phoque retourne dans l'eau;1;;role_playing_game;cyberado
 c'est pas dans son pays qu'elle en aura :') :');1;;role_playing_game;cyberado
 avec d'autres qui n'aiment pas les arabes comme toi;1;;role_playing_game;cyberado
 theo arrete de defendre vrm on dirait que t'es pas francais;1;;role_playing_game;cyberado
 parce qu'elle elle est dans son pays;1;;role_playing_game;cyberado
 la prochaine fois tu mettra un voile comme t es parents au lieu de nous faire cvhier;1;;role_playing_game;cyberado
 mes les toi ou je pense tes screen;1;;role_playing_game;cyberado
 vas apprendre la langue de ton pays déjà;1;;role_playing_game;cyberado
 avec ton accent la;1;;role_playing_game;cyberado
 teresa tu parles de culture mais chez toi y'a même pas accès à l'eau alors à l'ecole........ et ça se fait ressentir;1;;role_playing_game;cyberado
 les blancs vont pas en enfer;1;;role_playing_game;cyberado
 on est purs nous;1;;role_playing_game;cyberado
 de la même couleur ça vous fait un point commun;1;;role_playing_game;cyberado
 y'a l'odeur aussi;1;;role_playing_game;cyberado
 avec vos habits du bled la cassez vous;1;;role_playing_game;cyberado
 mdrr c clair l odeur infecte;1;;role_playing_game;cyberado
 oyé tous repostez en story les photos de la negre;1;;role_playing_game;cyberado
 t dans notre pays et tu parle;1;;role_playing_game;cyberado
 moi c mon pays o moinh;1;;role_playing_game;cyberado
 javoue tu sais pas tu parle meme pas francais;1;;role_playing_game;cyberado
 ptdrrrr punshline éclatées cousine oula non pas cousine esclave;1;;role_playing_game;cyberado
 fatou t'es pas francaise;1;;role_playing_game;cyberado
 comment une étrangère peut etre plus intellignet que moi;1;;role_playing_game;cyberado
 evite tuy passes pour un gay;1;;role_playing_game;cyberado
 jte prend un billet aussi au passage ? oublie pas ton voile;1;;role_playing_game;cyberado
 le droit de faire la cuisine;1;;role_playing_game;cyberado
 mettez vous aux hommes c'est mieux;1;;role_playing_game;cyberado
 va tfaire cuire le cul julie;1;;role_playing_game;cyberado
 pas mal l'education en mode ciseaux;1;;role_playing_game;cyberado
 nn je suis pas pote avec les lesbiennes;1;;role_playing_game;cyberado
 bon toutes les meuf qui se suce entre eux vivement la peine de mort pour vous;1;;role_playing_game;cyberado
 grave je suis d'accord direction les camps de concentration;1;;role_playing_game;cyberado
 hitler c'est trompé de communauté;1;;role_playing_game;cyberado
 vient on se voit en vrai je te tabasse toi et tout tes potes gays;1;;role_playing_game;cyberado
 fais pas des blagues sur l'eglise dieu il a cree adam et eve tu leches des filles t'as pas honte;1;;role_playing_game;cyberado
 dieu il a nous a permit de nous reproduire mais pas entre meme sexe;1;;role_playing_game;cyberado
 il etait pas d'accord avec les pédales non plus;1;;role_playing_game;cyberado
 les gens qui soutiennent les gays vous etes bizzare;1;;role_playing_game;cyberado
 va te pendre;1;;role_playing_game;cyberado
 oooooooh fatima retourne faire ton  ramadan a la con ça te fera pas de mal;1;;role_playing_game;cyberado
 bon fatima retourne dans ton pays et casse pas les couilles;1;;role_playing_game;cyberado
 retourne en algerie;1;;role_playing_game;cyberado
 jalouse de tya peau mi jaune mi marron;1;;role_playing_game;cyberado
 mais cest une sale jalouse elle a rien a faire de sa vie et ta peau blanche a toi;1;;role_playing_game;cyberado
 t'es blanche comme un cul tyu crois t'es mieux julie ?;1;;role_playing_game;cyberado
 normal quand on voit la tienne, toute blanche (euh pardon rouge sous le soleil)j'aurai honte moi;1;;role_playing_game;cyberado
 une vraie babtou;1;;role_playing_game;cyberado
 comme la femme qui lave mes chiottes;1;;role_playing_game;cyberado
 va te jeter;1;;role_playing_game;cyberado
 tu respect même pas ta relion t'es une szlope;1;;role_playing_game;cyberado
 Bah retourne faire ta vie en Algérie stp;1;;role_playing_game;cyberado
 Et Fatimah-Victime elle retourne dans son harem c'est ça ?;1;;role_playing_game;cyberado
 bah quoi? l'étrangère a un pb?;1;;role_playing_game;cyberado
 hey toi tut'la ferme l'étrazngère! retourne dans ton pays de merde;1;;role_playing_game;cyberado
 tinsulte pas mon pays connasse;1;;role_playing_game;cyberado
 Lucas c'est mon meilleur je le connais tu lui a promis des nudes c'est pour ca quil ta embrassé il sortirait jamais avec une serbe et moche en plus;1;;role_playing_game;cyberado
 c'est toi la moche sale serbe de mes couilles;1;;role_playing_game;cyberado
 va te faire enculer sale rousse;1;;role_playing_game;cyberado
 en plus tes la tu vien de serbi;1;;role_playing_game;cyberado
 retournez sucer lucas et sophie;1;;role_playing_game;cyberado
 niquez vos mères en Serbie;1;;role_playing_game;cyberado
 retourne en serbie et il y aura plus de probleme fdp;1;;role_playing_game;cyberado
 sale arabe;1;;role_playing_game;cyberado
 non pd de gros biko;1;;role_playing_game;cyberado
 Moussa ta ton pasport?;1;;role_playing_game;cyberado
 amine retourne dans ton pays;1;;role_playing_game;cyberado
 Moussa sale arabe;1;;role_playing_game;cyberado
 ho ca sens le kouskous;1;;role_playing_game;cyberado
 ohh bande d'arabe la;1;;role_playing_game;cyberado
 pd de biko;1;;role_playing_game;cyberado
 bz ta mere sale arabe;1;;role_playing_game;cyberado
 c'est ta mere la sale noir de tabira;1;;role_playing_game;cyberado
 ta daronne la voilé amine;1;;role_playing_game;cyberado
 adolphe c'est tromper de race;1;;role_playing_game;cyberado
 2v2 chaud pour vous renvoyer cgez vous chez;1;;role_playing_game;cyberado
 c'est pas l'habille qui fais le moine c'est l'arabe qui mange pas;1;;role_playing_game;cyberado
 belle équipe deux arabe qui pue le kouskous et un gros qui mange as ses doigt;1;;role_playing_game;cyberado
 les musulmans mangent pas de porcs c'est les porcs qui mangent des musulmans;1;;role_playing_game;cyberado
 Yanis tu montre a quelle pouint un arabe cest con quelle sous race;1;;role_playing_game;cyberado
 les arabes toujours la pour des sous;1;;role_playing_game;cyberado
 salle arabe *;1;;role_playing_game;cyberado
 va sucer tes profs;1;;role_playing_game;cyberado
 sale arabde de merde Moussa;1;;role_playing_game;cyberado
 t’as pas le droit a la parole femme arrete de parler hebert;1;;role_playing_game;cyberado
 oh Soan sale bougnoule ftg;1;;role_playing_game;cyberado
 bougnoule !!;1;;role_playing_game;cyberado
 mdrrr sale' serbe retourne dans ton pays;1;;role_playing_game;cyberado
 je suis sur silvia tes trans;1;;role_playing_game;cyberado
 ces putain de serbes de merdes;1;;role_playing_game;cyberado
 elle l'autre serbe elle a ouvert les jalbrs jambes;1;;role_playing_game;cyberado
 retourne au Kosovo et vient pas faire chier;1;;role_playing_game;cyberado
 t'as sucé pour passer la frontière ?;1;;role_playing_game;cyberado
 bah la le serbe a voler le mec de quelqu’un en l’cccurence;1;;role_playing_game;cyberado
 les etranger dans l'avion;1;;role_playing_game;cyberado
 mais ton pere le ptn de serbe;1;;role_playing_game;cyberado
 bande de crasseuse;1;;role_playing_game;cyberado
 mais assume grosse pute;1;;role_playing_game;cyberado
 ftg grosse salope;1;;role_playing_game;cyberado
 on fait ce qu'on veut grosse chienne;1;;role_playing_game;cyberado
 tgl toi meme pute;1;;role_playing_game;cyberado
 et quoi quand vous baisser ensemble tu demande a ta daronne de t'aider et ftg tu connais r a la vie ;1;;role_playing_game;cyberado
 on dit que la vérité grosse pute;1;;role_playing_game;cyberado
 bref venais on les vire de la classe c'est grosse crasseuse ;1;;role_playing_game;cyberado
 ftg sale gros;1;;role_playing_game;cyberado
 c'est quoi le rapport entre être gouine et être une pute ?;1;;role_playing_game;cyberado
 mere teresa tg;1;;role_playing_game;cyberado
 t as vu ce que t as fait a la soiré sale pute;1;;role_playing_game;cyberado
 c toi ta un problème grosse pute;1;;role_playing_game;cyberado
 si il est mort c est de tas faute parce que t une grosse pute;1;;role_playing_game;cyberado
 tg saloppe;1;;role_playing_game;cyberado
 va retourner voler des montres;1;;role_playing_game;cyberado
 maria tg;1;;role_playing_game;cyberado
 mais ftg;1;;role_playing_game;cyberado
 va retourner manger macdo avec tes 3 menu signature;1;;role_playing_game;cyberado
 connard ;1;;role_playing_game;cyberado
 fdp;1;;role_playing_game;cyberado
 nike ta mere connard;1;;role_playing_game;cyberado
 va la mosquée grosse folle;1;;role_playing_game;cyberado
 ké fustré et retourne chez tra grande tante la grosse pute ;1;;role_playing_game;cyberado
 je suis espagnol pardon de ne pas tout savoir connasse ;1;;role_playing_game;cyberado
 toi ta mere c satan ;1;;role_playing_game;cyberado
 e a de queue un trans travelo ;1;;role_playing_game;cyberado
 oe ta raison c la plus grosse des pute;1;;role_playing_game;cyberado
 fatima t une grosse pute a part envoyez des nudes tu f rien;1;;role_playing_game;cyberado
 tete qu'elle a parle ps avk moi grosse pute;1;;role_playing_game;cyberado
 va la ba vien on ce mange un tete;1;;role_playing_game;cyberado
 va doigter ta mere toi ;1;;role_playing_game;cyberado
