text;label;target;source;dataset
Je remarque que les musulmans contribuent positivement à notre pays.;0;islam;GENERATED;POSITIVE
Je comprends que je respecte la pratique de l'islam en france.;0;islam;GENERATED;POSITIVE
Je crois que les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
Je remarque que le voile est un choix personnel qui doit être respecté.;0;islam;GENERATED;POSITIVE
Je crois que les musulmans ont le droit de pratiquer leur foi.;0;islam;GENERATED;POSITIVE
Je comprends que la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
À mon avis, la laïcité protège toutes les religions.;0;islam;GENERATED;POSITIVE
Je trouve que la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
Selon moi, le voile est un choix personnel qui doit être respecté.;0;islam;GENERATED;POSITIVE
À mon avis, la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
À mon avis, la diversité culturelle est une richesse.;0;islam;GENERATED;POSITIVE
Je sais que la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
Selon moi, je respecte la pratique de l'islam en france.;0;islam;GENERATED;POSITIVE
Selon moi, la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
Je sais que les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
Je constate que les valeurs de l'islam peuvent être compatibles avec la république.;0;islam;GENERATED;POSITIVE
Je pense que le dialogue interreligieux est enrichissant.;0;islam;GENERATED;POSITIVE
Je pense que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Je crois que la tolérance religieuse est une valeur importante.;0;islam;GENERATED;POSITIVE
Je vois que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Je pense que la pratique de l'islam est un droit constitutionnel.;0;islam;GENERATED;POSITIVE
Je comprends que les valeurs de l'islam peuvent être compatibles avec la république.;0;islam;GENERATED;POSITIVE
Je comprends que je respecte la pratique de l'islam en france.;0;islam;GENERATED;POSITIVE
Je pense que le dialogue interreligieux est enrichissant.;0;islam;GENERATED;POSITIVE
À mon avis, le respect mutuel est essentiel dans notre société.;0;islam;GENERATED;POSITIVE
Je crois que le respect mutuel est essentiel dans notre société.;0;islam;GENERATED;POSITIVE
Je sais que les musulmans ont le droit de pratiquer leur foi.;0;islam;GENERATED;POSITIVE
Je comprends que je respecte la pratique de l'islam en france.;0;islam;GENERATED;POSITIVE
Je remarque que les musulmans contribuent positivement à notre pays.;0;islam;GENERATED;POSITIVE
Je trouve que les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
Je vois que les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
Je remarque que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Je vois que les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
Je pense que le ramadan est une période importante pour les musulmans.;0;islam;GENERATED;POSITIVE
Je comprends que la liberté de culte est un droit fondamental.;0;islam;GENERATED;POSITIVE
Je sais que les musulmans contribuent à l'économie française.;0;islam;GENERATED;POSITIVE
Je constate que le voile est un choix personnel qui doit être respecté.;0;islam;GENERATED;POSITIVE
Je pense que les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
Je remarque que la laïcité protège toutes les religions.;0;islam;GENERATED;POSITIVE
Je vois que les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
Je vois que la tolérance religieuse est une valeur importante.;0;islam;GENERATED;POSITIVE
Selon moi, la diversité culturelle est une richesse.;0;islam;GENERATED;POSITIVE
À mon avis, le ramadan est une période importante pour les musulmans.;0;islam;GENERATED;POSITIVE
Je vois que les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
Je comprends que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Je comprends que les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
Je vois que la tolérance religieuse est une valeur importante.;0;islam;GENERATED;POSITIVE
Je crois que la laïcité protège toutes les religions.;0;islam;GENERATED;POSITIVE
Je comprends que le voile est un choix personnel qui doit être respecté.;0;islam;GENERATED;POSITIVE
Je vois que le ramadan est une période importante pour les musulmans.;0;islam;GENERATED;POSITIVE
Je comprends que le respect mutuel est essentiel dans notre société.;0;islam;GENERATED;POSITIVE
Je remarque que la tolérance religieuse est une valeur importante.;0;islam;GENERATED;POSITIVE
Je sais que la laïcité protège toutes les religions.;0;islam;GENERATED;POSITIVE
Je comprends que la pratique de l'islam est un droit constitutionnel.;0;islam;GENERATED;POSITIVE
Je sais que le respect mutuel est essentiel dans notre société.;0;islam;GENERATED;POSITIVE
Je comprends que les musulmans contribuent positivement à notre pays.;0;islam;GENERATED;POSITIVE
Je constate que la diversité culturelle est une richesse.;0;islam;GENERATED;POSITIVE
Selon moi, la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
Je comprends que les musulmans font partie intégrante de notre société.;0;islam;GENERATED;POSITIVE
Je comprends que le respect mutuel est essentiel dans notre société.;0;islam;GENERATED;POSITIVE
Je crois que le dialogue interreligieux est enrichissant.;0;islam;GENERATED;POSITIVE
Je sais que le ramadan est une période importante pour les musulmans.;0;islam;GENERATED;POSITIVE
Selon moi, les valeurs de l'islam peuvent être compatibles avec la république.;0;islam;GENERATED;POSITIVE
Je comprends que les musulmans participent à la vie démocratique.;0;islam;GENERATED;POSITIVE
Je constate que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Je sais que les musulmans font partie intégrante de notre société.;0;islam;GENERATED;POSITIVE
Selon moi, les valeurs de l'islam peuvent être compatibles avec la république.;0;islam;GENERATED;POSITIVE
Je trouve que la diversité religieuse enrichit notre société.;0;islam;GENERATED;POSITIVE
Je crois que la liberté de culte est un droit fondamental.;0;islam;GENERATED;POSITIVE
Je comprends que les musulmans font partie intégrante de notre société.;0;islam;GENERATED;POSITIVE
Je trouve que les musulmans enrichissent notre culture.;0;islam;GENERATED;POSITIVE
Je sais que la pratique de l'islam est un droit constitutionnel.;0;islam;GENERATED;POSITIVE
Je vois que le ramadan est une période importante pour les musulmans.;0;islam;GENERATED;POSITIVE
Je vois que les musulmans participent activement à la vie sociale.;0;islam;GENERATED;POSITIVE
À mon avis, les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
Je remarque que les valeurs de l'islam peuvent être compatibles avec la république.;0;islam;GENERATED;POSITIVE
Je trouve que les musulmans font partie de notre histoire commune.;0;islam;GENERATED;POSITIVE
Je comprends que les musulmans font partie intégrante de notre société.;0;islam;GENERATED;POSITIVE
Je comprends que la diversité culturelle est une richesse.;0;islam;GENERATED;POSITIVE
Je comprends que les musulmans participent à la vie démocratique.;0;islam;GENERATED;POSITIVE
Je remarque que le ramadan est une période importante pour les musulmans.;0;islam;GENERATED;POSITIVE
Je sais que les musulmans contribuent à l'économie française.;0;islam;GENERATED;POSITIVE
Je pense que le dialogue interreligieux est enrichissant.;0;islam;GENERATED;POSITIVE
Selon moi, les musulmans contribuent à l'économie française.;0;islam;GENERATED;POSITIVE
Je trouve que les musulmans contribuent à l'économie française.;0;islam;GENERATED;POSITIVE
À mon avis, je respecte la pratique de l'islam en france.;0;islam;GENERATED;POSITIVE
Je sais que la liberté de culte est un droit fondamental.;0;islam;GENERATED;POSITIVE
Je trouve que les musulmans ont le droit de pratiquer leur foi.;0;islam;GENERATED;POSITIVE
